paper_id,content_path,schema_valid_outputs,schema_invalid_outputs,non_empty_extractions_evaluable,grounded_extractions,extracted_values_evaluable,unsupported_values_proxy
paper1,Data/paper1/content.txt,8,0,8,3,29,2
paper1004,Data/paper1004/content.txt,8,0,8,2,27,3
paper1013,Data/paper1013/content.txt,8,0,8,1,30,3
paper1014,Data/paper1014/content.txt,8,0,8,3,43,5
paper1015,Data/paper1015/content.txt,8,0,8,0,41,20
paper1016,Data/paper1016/content.txt,0,8,0,0,0,0
paper1017,Data/paper1017/content.txt,8,0,8,0,30,1
paper1020,Data/paper1020/content.txt,8,0,8,2,34,9
paper1022,Data/paper1022/content.txt,8,0,8,0,35,6
paper1023,Data/paper1023/content.txt,8,0,8,0,27,3
paper1025,Data/paper1025/content.txt,8,0,8,0,36,7
paper1026,Data/paper1026/content.txt,8,0,8,1,35,4
paper103,Data/paper103/content.txt,8,0,8,2,20,5
paper1030,Data/paper1030/content.txt,8,0,8,2,33,5
paper1038,Data/paper1038/content.txt,8,0,8,1,37,7
paper1048,Data/paper1048/content.txt,8,0,8,0,37,4
paper1059,Data/paper1059/content.txt,8,0,7,4,28,6
paper1060,Data/paper1060/content.txt,8,0,7,4,26,1
paper1063,Data/paper1063/content.txt,8,0,8,6,27,4
paper1064,Data/paper1064/content.txt,8,0,8,4,29,6
paper1067,Data/paper1067/content.txt,8,0,8,1,42,10
paper1071,Data/paper1071/content.txt,8,0,8,2,30,5
paper1084,Data/paper1084/content.txt,8,0,8,0,34,4
paper1087,Data/paper1087/content.txt,8,0,8,5,29,7
paper1109,Data/paper1109/content.txt,8,0,8,4,32,4
paper1110,Data/paper1110/content.txt,8,0,8,2,33,6
paper1128,Data/paper1128/content.txt,8,0,8,5,35,6
paper1129,Data/paper1129/content.txt,8,0,8,2,27,3
paper1131,Data/paper1131/content.txt,8,0,8,0,43,10
paper1142,Data/paper1142/content.txt,8,0,8,0,38,3
paper1151,Data/paper1151/content.txt,8,0,8,3,26,3
paper1163,Data/paper1163/content.txt,8,0,8,3,41,11
paper1178,Data/paper1178/content.txt,8,0,8,0,40,6
paper118,Data/paper118/content.txt,8,0,0,0,0,0
paper1191,Data/paper1191/content.txt,8,0,8,4,34,4
paper1192,Data/paper1192/content.txt,8,0,8,0,42,7
paper1195,Data/paper1195/content.txt,8,0,8,1,43,10
paper1210,Data/paper1210/content.txt,8,0,8,2,37,8
paper1220,Data/paper1220/content.txt,8,0,8,4,29,1
paper123,Data/paper123/content.txt,8,0,0,0,0,0
paper1240,Data/paper1240/content.txt,8,0,8,0,37,5
paper1243,Data/paper1243/content.txt,8,0,8,0,36,7
paper1246,Data/paper1246/content.txt,8,0,8,0,44,10
paper1257,Data/paper1257/content.txt,8,0,8,0,31,8
