dataset,paper_id,content_path,non_empty_extractions,non_empty_extractions_evaluable,grounded_extractions,sentence_grounded_count,paraphrased_evidence,missing_evidence,empty_evidence,evidence_not_found,non_empty_extractions_without_source_text
qwen3_8b_direct,paper1,Data/paper1/content.txt,8,8,3,2,0,0,0,5,0
qwen3_8b_direct,paper1004,Data/paper1004/content.txt,8,8,2,2,0,0,0,6,0
qwen3_8b_direct,paper1015,Data/paper1015/content.txt,8,8,0,0,5,0,0,3,0
qwen3_8b_direct,paper1048,Data/paper1048/content.txt,8,8,0,4,0,0,0,8,0
qwen3_8b_direct,paper1063,Data/paper1063/content.txt,8,8,6,2,0,0,0,2,0
qwen3_8b_direct,paper1191,Data/paper1191/content.txt,8,8,4,4,0,0,0,4,0
qwen3_8b_direct,paper1195,Data/paper1195/content.txt,8,8,1,2,3,0,0,4,0
qwen3_8b_direct,paper1210,Data/paper1210/content.txt,8,8,2,4,0,0,0,6,0
qwen3_8b_direct,paper1286,Data/paper1286/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1327,Data/paper1327/content.txt,8,8,4,2,0,0,0,4,0
qwen3_8b_direct,paper1328,Data/paper1328/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1353,Data/paper1353/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1358,Data/paper1358/content.txt,8,8,0,0,2,0,0,6,0
qwen3_8b_direct,paper140,Data/paper140/content.txt,8,8,0,0,3,0,0,5,0
qwen3_8b_direct,paper1408,Data/paper1408/content.txt,8,8,1,1,0,0,0,7,0
qwen3_8b_direct,paper1414,Data/paper1414/content.txt,8,8,3,5,0,0,0,5,0
qwen3_8b_direct,paper1448,Data/paper1448/content.txt,8,8,0,2,0,0,0,8,0
qwen3_8b_direct,paper1534,Data/paper1534/content.txt,8,8,1,3,0,0,0,7,0
qwen3_8b_direct,paper1572,Data/paper1572/content.txt,8,8,0,0,1,0,0,7,0
qwen3_8b_direct,paper1632,Data/paper1632/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1653,Data/paper1653/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1661,Data/paper1661/content.txt,0,0,0,0,0,0,0,0,0
qwen3_8b_direct,paper1685,Data/paper1685/content.txt,8,8,4,4,0,0,0,4,0
qwen3_8b_direct,paper1746,Data/paper1746/content.txt,8,8,2,1,2,0,0,4,0
qwen3_8b_direct,paper175,Data/paper175/content.txt,8,8,5,2,0,0,0,3,0
qwen3_8b_direct,paper1760,Data/paper1760/content.txt,8,8,3,5,0,0,0,5,0
qwen3_8b_direct,paper1812,Data/paper1812/content.txt,8,8,0,1,0,0,0,8,0
qwen3_8b_direct,paper1848,Data/paper1848/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1905,Data/paper1905/content.txt,8,8,1,7,0,0,0,7,0
qwen3_8b_direct,paper1926,Data/paper1926/content.txt,8,8,2,3,0,0,0,6,0
