paper_id,content_path,schema_valid_outputs,schema_invalid_outputs,non_empty_extractions_evaluable,grounded_extractions,extracted_values_evaluable,unsupported_values_proxy
paper1,Data/paper1/content.txt,8,0,8,7,35,9
paper100,Data/paper100/content.txt,6,2,7,4,26,7
paper1000,Data/paper1000/content.txt,8,0,7,6,32,12
paper1001,Data/paper1001/content.txt,8,0,7,3,44,12
paper1002,Data/paper1002/content.txt,8,0,6,2,47,17
paper1003,Data/paper1003/content.txt,8,0,7,5,31,8
paper1004,Data/paper1004/content.txt,8,0,8,5,43,20
paper1005,Data/paper1005/content.txt,8,0,8,4,41,14
paper1006,Data/paper1006/content.txt,8,0,6,3,40,17
paper1007,Data/paper1007/content.txt,7,1,8,8,54,21
paper1008,Data/paper1008/content.txt,8,0,7,5,32,12
paper1009,Data/paper1009/content.txt,8,0,7,5,35,3
paper101,Data/paper101/content.txt,8,0,5,2,39,18
paper1010,Data/paper1010/content.txt,8,0,7,5,27,7
paper1011,Data/paper1011/content.txt,8,0,5,3,26,11
paper1012,Data/paper1012/content.txt,8,0,8,4,50,24
paper1013,Data/paper1013/content.txt,8,0,8,4,48,20
paper1014,Data/paper1014/content.txt,8,0,4,2,23,5
paper1015,Data/paper1015/content.txt,8,0,7,5,45,13
paper1016,Data/paper1016/content.txt,7,1,7,4,27,13
paper1017,Data/paper1017/content.txt,8,0,7,2,23,5
paper1018,Data/paper1018/content.txt,7,1,7,3,28,12
paper1019,Data/paper1019/content.txt,6,2,7,3,27,7
paper102,Data/paper102/content.txt,8,0,8,4,29,9
paper1020,Data/paper1020/content.txt,8,0,8,5,58,24
paper1021,Data/paper1021/content.txt,8,0,8,4,36,6
paper1022,Data/paper1022/content.txt,7,1,6,4,39,26
paper1023,Data/paper1023/content.txt,8,0,4,1,18,10
paper1024,Data/paper1024/content.txt,8,0,7,4,41,20
paper1025,Data/paper1025/content.txt,8,0,7,1,39,13
paper1026,Data/paper1026/content.txt,8,0,7,3,46,19
paper1027,Data/paper1027/content.txt,8,0,6,5,30,11
paper1028,Data/paper1028/content.txt,8,0,7,5,24,10
paper1029,Data/paper1029/content.txt,8,0,7,5,41,16
paper1030,Data/paper1030/content.txt,8,0,5,4,28,14
paper1031,Data/paper1031/content.txt,8,0,3,3,6,1
paper1032,Data/paper1032/content.txt,8,0,4,3,25,8
paper1033,Data/paper1033/content.txt,8,0,6,2,47,21
paper1034,Data/paper1034/content.txt,8,0,7,5,43,13
paper1035,Data/paper1035/content.txt,8,0,7,4,49,22
paper1036,Data/paper1036/content.txt,8,0,8,5,39,16
paper1037,Data/paper1037/content.txt,8,0,7,6,31,19
paper1038,Data/paper1038/content.txt,8,0,7,3,29,14
paper1039,Data/paper1039/content.txt,8,0,6,5,27,15
paper1040,Data/paper1040/content.txt,8,0,6,3,42,11
paper1041,Data/paper1041/content.txt,8,0,7,6,38,14
paper1042,Data/paper1042/content.txt,7,1,6,5,26,8
paper1043,Data/paper1043/content.txt,6,2,7,2,29,11
