paper_id,agent,path,value,evidence
paper1,summary,summary.temperature_range,184-330 °C,"The continuing push to decrease the size of microelectronic devices is hampered by some of the physical properties of the current materials. Silicon dioxide is currently used as the gate dielectric in metal oxide semiconductor field effect transistors (MOSFETs), and operation of this device requires that the thickness of the dielectric be scaled along with the length of the gate between the source and drain."
paper1,precursor_coreactant,precursor_coreactant.coreactants[0].full_name,Water,Ultra high purity (99.998 %) Ar was used as the carrier gas at a flow rate of 60 sccm.
paper1,precursor_coreactant,precursor_coreactant.purge_gas[0].full_name,Argon,Ultra high purity (99.998 %) Ar was used as the carrier gas at a flow rate of 60 sccm.
paper1,precursor_coreactant,precursor_coreactant.carrier_gas[0].full_name,Argon,Ultra high purity (99.998 %) Ar was used as the carrier gas at a flow rate of 60 sccm.
paper1,reaction_conditions,reaction_conditions.surface_mechanism_description,Ligand exchange between TMA and surface hydroxyl groups followed by water pulse to regenerate OH sites,"The large-grain morphology, especially evident in the UHV-CVD-grown films, was further verified by cross-sectional transmission electron microscopy (TEM) as shown in Figure 3. Also evident is an amorphous region, approximately 2 nm in thickness, at the interface between silicon and the TiO2. This appears to be silicon oxide or a mixture of silicon and titanium oxide, but attempts to determine its exact composition using energy dispersive X-ray (EDX) analysis and RBS were precluded by its limited thickness."
paper1,characterization,characterization.characterization_methods[0],X-ray Photoelectron Spectroscopy (XPS),"The composition of all films was TiO2.0–0.1 as measured by RBS. No evidence for the presence of nitrogen was found using particle-induced X-ray emission (PIXE) or Auger electron spectroscopy. X-ray diffraction (XRD) established that even those films grown at 184 °C by UHV-CVD (Fig. 2) were polycrystalline TiO2 with the structure of the anatase phase. Atomic force microscopy (AFM) indicated the root mean square (rms) roughness for as-deposited, LPCVD-grown, 10–35 nm thick films was 0.12–0.15 nm and the average grain diameter for a 35 nm thick film was approximately 500 nm."
paper1,characterization,characterization.characterization_methods[7],Four-point probe,"The composition of all films was TiO2.0–0.1 as measured by RBS. No evidence for the presence of nitrogen was found using particle-induced X-ray emission (PIXE) or Auger electron spectroscopy. X-ray diffraction (XRD) established that even those films grown at 184 °C by UHV-CVD (Fig. 2) were polycrystalline TiO2 with the structure of the anatase phase. Atomic force microscopy (AFM) indicated the root mean square (rms) roughness for as-deposited, LPCVD-grown, 10–35 nm thick films was 0.12–0.15 nm and the average grain diameter for a 35 nm thick film was approximately 500 nm."
paper1,characterization,characterization.characterization_methods[8],Hall Effect measurement,"The composition of all films was TiO2.0–0.1 as measured by RBS. No evidence for the presence of nitrogen was found using particle-induced X-ray emission (PIXE) or Auger electron spectroscopy. X-ray diffraction (XRD) established that even those films grown at 184 °C by UHV-CVD (Fig. 2) were polycrystalline TiO2 with the structure of the anatase phase. Atomic force microscopy (AFM) indicated the root mean square (rms) roughness for as-deposited, LPCVD-grown, 10–35 nm thick films was 0.12–0.15 nm and the average grain diameter for a 35 nm thick film was approximately 500 nm."
paper1,characterization,characterization.characterization_methods[9],C-V measurement,"The composition of all films was TiO2.0–0.1 as measured by RBS. No evidence for the presence of nitrogen was found using particle-induced X-ray emission (PIXE) or Auger electron spectroscopy. X-ray diffraction (XRD) established that even those films grown at 184 °C by UHV-CVD (Fig. 2) were polycrystalline TiO2 with the structure of the anatase phase. Atomic force microscopy (AFM) indicated the root mean square (rms) roughness for as-deposited, LPCVD-grown, 10–35 nm thick films was 0.12–0.15 nm and the average grain diameter for a 35 nm thick film was approximately 500 nm."
paper100,summary,summary.process_type,Thermal ALD,In situ X-ray reflectivity and diffraction uncover the evolution of the film as a function of T (Figure 1).
