paper_id,content_path,schema_valid_outputs,schema_invalid_outputs,non_empty_extractions_evaluable,grounded_extractions,extracted_values_evaluable,unsupported_values_proxy
elsevier_paper_1000,Data_Unpaywall_OA/elsevier_paper_1000/content.txt,8,0,8,0,16,16
elsevier_paper_1001,Data_Unpaywall_OA/elsevier_paper_1001/content.txt,8,0,8,6,40,3
elsevier_paper_1003,Data_Unpaywall_OA/elsevier_paper_1003/content.txt,8,0,8,3,40,7
elsevier_paper_1005,Data_Unpaywall_OA/elsevier_paper_1005/content.txt,8,0,8,5,32,6
elsevier_paper_1006,Data_Unpaywall_OA/elsevier_paper_1006/content.txt,8,0,8,5,31,4
elsevier_paper_1012,Data_Unpaywall_OA/elsevier_paper_1012/content.txt,8,0,8,6,32,2
elsevier_paper_102,Data_Unpaywall_OA/elsevier_paper_102/content.txt,8,0,8,4,30,7
elsevier_paper_1020,Data_Unpaywall_OA/elsevier_paper_1020/content.txt,8,0,8,5,36,4
elsevier_paper_1021,Data_Unpaywall_OA/elsevier_paper_1021/content.txt,8,0,8,4,35,8
elsevier_paper_1022,Data_Unpaywall_OA/elsevier_paper_1022/content.txt,8,0,8,0,16,16
elsevier_paper_1028,Data_Unpaywall_OA/elsevier_paper_1028/content.txt,8,0,8,5,43,8
elsevier_paper_1040,Data_Unpaywall_OA/elsevier_paper_1040/content.txt,8,0,8,6,40,10
elsevier_paper_1043,Data_Unpaywall_OA/elsevier_paper_1043/content.txt,8,0,8,6,30,4
elsevier_paper_1052,Data_Unpaywall_OA/elsevier_paper_1052/content.txt,8,0,8,0,16,16
elsevier_paper_1065,Data_Unpaywall_OA/elsevier_paper_1065/content.txt,8,0,8,0,16,16
elsevier_paper_1080,Data_Unpaywall_OA/elsevier_paper_1080/content.txt,8,0,8,6,57,10
elsevier_paper_1090,Data_Unpaywall_OA/elsevier_paper_1090/content.txt,8,0,8,5,40,2
elsevier_paper_1094,Data_Unpaywall_OA/elsevier_paper_1094/content.txt,8,0,8,7,27,10
elsevier_paper_1096,Data_Unpaywall_OA/elsevier_paper_1096/content.txt,8,0,8,0,16,16
elsevier_paper_110,Data_Unpaywall_OA/elsevier_paper_110/content.txt,8,0,8,6,37,7
elsevier_paper_1100,Data_Unpaywall_OA/elsevier_paper_1100/content.txt,8,0,8,0,16,16
elsevier_paper_1101,Data_Unpaywall_OA/elsevier_paper_1101/content.txt,8,0,8,0,16,16
elsevier_paper_1115,Data_Unpaywall_OA/elsevier_paper_1115/content.txt,8,0,8,0,16,16
elsevier_paper_1116,Data_Unpaywall_OA/elsevier_paper_1116/content.txt,8,0,8,5,30,4
elsevier_paper_1117,Data_Unpaywall_OA/elsevier_paper_1117/content.txt,8,0,8,0,16,16
elsevier_paper_1121,Data_Unpaywall_OA/elsevier_paper_1121/content.txt,8,0,8,3,29,7
elsevier_paper_1122,Data_Unpaywall_OA/elsevier_paper_1122/content.txt,8,0,8,5,40,19
elsevier_paper_1123,Data_Unpaywall_OA/elsevier_paper_1123/content.txt,8,0,8,5,38,8
elsevier_paper_1124,Data_Unpaywall_OA/elsevier_paper_1124/content.txt,8,0,8,0,16,16
