paper_id,agent,path,value,evidence
paper1,summary,summary.temperature_range,184 °C to 330 °C,"Titanium dioxide (TiO2) films were deposited using tetranitratotitanium(IV) (TNT) as a precursor in low pressure CVD (LPCVD) and UHV-CVD reactors. The films exhibited crystalline anatase structure, good electrical properties, and were grown at low temperatures without requiring a separate oxygen source. The films showed reduced leakage current after post-deposition annealing."
paper1,reaction_conditions,reaction_conditions.surface_mechanism_description,The reaction mechanism involves the thermolysis of tetranitratotitanium(IV) (TNT) to form titanium dioxide (TiO2) without requiring a separate oxygen source.,"Anhydrous metal nitrates vary widely in their properties, however, some have been shown to be volatile and to form metal oxides upon thermolysis. The structure of tetranitratotitanium(IV), TNT, which was synthesized using a literature procedure, consists of four bidentate nitrato ligands arranged in a slightly flattened tetrahedral pattern around the central titanium atom."
paper1004,summary,summary.summary,TiO2 films were deposited onto stainless steel substrates using ALD to improve corrosion resistance. The films were amorphous and provided significant protection against corrosion in sodium chloride solution.,"Titanium dioxide (TiO2) films have been deposited onto stainless steel substrates using atomic layer deposition (ALD) technique. The TiO2 films are amorphous in structure as characterized by X-ray diffraction. The electrochemical measurements show that the equilibrium corrosion potential positively shifts from −0.96 eV for bare stainless steel to −0.63 eV for TiO2 coated stainless steel, and the corrosion current density decreases from 7.0 × 10−7 A/cm2 to 6.3 × 10−8 A/cm2."
paper1004,reaction_conditions,reaction_conditions.surface_mechanism_description,"The reaction mechanism involves the sequential adsorption of water and titanium tetraisopropoxide (TTIP) on the stainless steel surface, followed by their reaction to form TiO2.",The TiO2 films were prepared by ALD using titanium tetraisopropoxide (TTIP) and water as precursors.
paper1004,characterization,characterization.characterization_methods[3],Ellipsometry,The composition was determined by VG ESCALAB Mark II X-ray photoelectron spectroscopy (XPS). The crystal structure of the films was examined using X-ray diffraction (XRD). The surface morphology of the TiO2 films was examined using atomic force microscopy (AFM). The thickness of the films was measured using a Jobin-Yvon DeltaPsi ellipsometer. The electrochemical behaviour of the samples was measured using an Electrochemical Interface system and a frequency response analyzer.
paper1013,substrate_info,substrate_info.substrate_material,SiO2 (thermally grown) and glass,CoOx films were deposited on p-type Si (100) wafers covered with a 100-nm-thick thermally grown SiO2 layer and on glass substrates.
paper1013,characterization,characterization.characterization_methods[5],Cross-sectional scanning electron microscopy (XSEM),"The properties of the CoOx thin films were analyzed using various analytical techniques. The thicknesses of the CoOx films were determined by X-ray reflectance (XRR) and cross-sectional view scanning electron microscopy (XSEM). For phase identification, grazing-incidence angle X-ray diffraction (GIAXRD) was performed. Raman spectroscopy was used for precise phase identification. Rutherford backscattering spectrometry (RBS) was performed to determine the film composition and possible incorporation of impurities. Plan-view transmission electron microscopy (TEM) was used to analyze the microstructures of the as-grown CoOx films. The optical properties were analyzed by UV–Vis–NIR spectrophotometry. The as-grown mixed-phase CoOx films were post-annealed in O2 ambient using a RTA system."
paper1013,characterization,characterization.characterization_methods[7],Rapid thermal annealing (RTA),"The properties of the CoOx thin films were analyzed using various analytical techniques. The thicknesses of the CoOx films were determined by X-ray reflectance (XRR) and cross-sectional view scanning electron microscopy (XSEM). For phase identification, grazing-incidence angle X-ray diffraction (GIAXRD) was performed. Raman spectroscopy was used for precise phase identification. Rutherford backscattering spectrometry (RBS) was performed to determine the film composition and possible incorporation of impurities. Plan-view transmission electron microscopy (TEM) was used to analyze the microstructures of the as-grown CoOx films. The optical properties were analyzed by UV–Vis–NIR spectrophotometry. The as-grown mixed-phase CoOx films were post-annealed in O2 ambient using a RTA system."
paper1014,summary,summary.summary,"Hydrogenated amorphous carbon (a-C:H) thin films were deposited using hydrogen plasma-enhanced atomic layer deposition (PE-ALD) with CBr4 as the precursor and hydrogen plasma as the reactant. The films were grown at low temperatures (150–350 °C) and showed good conformality on three-dimensional structures. The films were characterized using Raman spectroscopy, XPS, FT-IR, and SIMS, revealing the presence of hydrogenated nanocrystalline sp3 diamond, disordered sp3 carbon, and sp2-hybridized graphitic carbon. The incorporation of bromine and oxygen decreased with increasing growth temperature.","Hydrogenated amorphous carbon (a-C:H) thin films were prepared by hydrogen plasma-enhanced atomic layer deposition (PE-ALD). The a-C:H thin films were grown at low temperatures in the range of 150 –350 °C using CBr4 as the precursor and hydrogen plasma as the reactant. Raman spectroscopy, secondary ion mass spectrometry, X-ray photoelectron spectroscopy and Fourier transform infrared measurements showed that the a-C:H films consist of hydrogenated nanocrystalline sp3 diamond, disordered sp3 carbon and sp2-hybridized graphitic carbon incorporated with oxygen as a main contaminant. Moreover, the incorporation of bromine and oxygen in the a-C:H films was significantly reduced upon increasing the growth temperature from 200 to 300 °C."
paper1014,reaction_conditions,reaction_conditions.reaction_equations[0],CBr4 + H2 → C + HBr,"The surface reaction of CBr4 precursor molecules on the active sites of a hydroxylated SiO2 surface may occur as indicated below: CBr4 + OH → CBr3 + HBr. The generated HBr byproduct can be removed by the inert gas, and the surface chemical reaction can be assumed irreversible and rate limiting. According to this scheme, during CBr4 exposure in a PE-ALD cycle, the reactive CBr3 species are chemisorbed on the SiO2 surface. The second half-cycle would involve exposure to atomic H originating from plasma, and a purging period separates subsequent half-cycles."
paper1014,reaction_conditions,reaction_conditions.surface_mechanism_description,"The surface reaction of CBr4 precursor molecules on the active sites of a hydroxylated SiO2 surface occurs as follows: CBr4 + OH → CBr3 + HBr. The generated HBr byproduct can be removed by the inert gas, and the surface chemical reaction can be assumed irreversible and rate limiting. During CBr4 exposure in a PE-ALD cycle, the reactive CBr3 species are chemisorbed on the SiO2 surface. The second half-cycle involves exposure to atomic H originating from plasma, and a purging period separates subsequent half-cycles.","The surface reaction of CBr4 precursor molecules on the active sites of a hydroxylated SiO2 surface may occur as indicated below: CBr4 + OH → CBr3 + HBr. The generated HBr byproduct can be removed by the inert gas, and the surface chemical reaction can be assumed irreversible and rate limiting. According to this scheme, during CBr4 exposure in a PE-ALD cycle, the reactive CBr3 species are chemisorbed on the SiO2 surface. The second half-cycle would involve exposure to atomic H originating from plasma, and a purging period separates subsequent half-cycles."
paper1014,substrate_info,substrate_info.pretreatment,hydroxylation using in-situ O2 plasma pretreatment,"SiO2 layers (of 285 nm thickness) thermally grown on p-Si(100) wafers were cleaned with acetone, ethanol, and de-ionized water prior to deposition in an ultrasonic bath. Prior to the PE-ALD process, the SiO2 substrate was hydroxylated by in-situ O2 plasma pretreatment using the CCP reactor (generated power of 200 W) along with high-purity O2 gas (99.9999%) at a fixed flow rate of 200 sccm for 30 s."
paper1014,characterization,characterization.characterization_methods[3],Fourier transform infrared spectroscopy,"Raman spectroscopy, secondary ion mass spectrometry, X-ray photoelectron spectroscopy and Fourier transform infrared measurements showed that the a-C:H films consist of hydrogenated nanocrystalline sp3 diamond, disordered sp3 carbon and sp2-hybridized graphitic carbon incorporated with oxygen as a main contaminant. The thickness of the deposited a-C:H film was measured by spectroscopic ellipsometry and field-emission scanning electron microscopy (FE-SEM). The nanoscale surface profile of the a-C:H films were observed by an atomic force microscopy (AFM). The XPS spectra were collected in constant analyzer energy mode, at a chamber pressure of 10−5 Pa and pass energy of 20 eV, in steps of 0.1 eV. The Raman spectra (Fig. 5) of the PE-ALD carbon films grown at Ts = 150–350 °C display three primary bands. The Raman spectra of the carbon film grown at Ts = 150–350 °C have similar band positions of 1348 ± 5, 1600 ± 5, and 2695 ± 5 cm−1, indicating that all carbon films grown by PE-ALD at those Ts have similar carbon structures."
paper1015,summary,summary.process_type,Plasma enhanced atomic layer deposition (PE-ALD) and thermal atomic layer deposition (T-ALD),"The paper discusses the deposition of AlN using PE-ALD and T-ALD, the role of H2 flow rate in preferred orientation, and the comparison of impurity levels and crystallinity between the two methods. It also mentions the infiltration of porous SiC with AlN using both methods."
paper1015,summary,summary.temperature_range,"325 °C to 350 °C for PE-ALD, 400 °C for T-ALD","The paper discusses the deposition of AlN using PE-ALD and T-ALD, the role of H2 flow rate in preferred orientation, and the comparison of impurity levels and crystallinity between the two methods. It also mentions the infiltration of porous SiC with AlN using both methods."
