dataset,paper_id,content_path,non_empty_extractions,non_empty_extractions_evaluable,grounded_extractions,sentence_grounded_count,paraphrased_evidence,missing_evidence,empty_evidence,evidence_not_found,non_empty_extractions_without_source_text
qwen3_8b_direct,paper1,Data/paper1/content.txt,8,8,3,2,0,0,0,5,0
qwen3_8b_direct,paper1004,Data/paper1004/content.txt,8,8,2,2,0,0,0,6,0
qwen3_8b_direct,paper1013,Data/paper1013/content.txt,8,8,1,2,0,0,0,7,0
qwen3_8b_direct,paper1014,Data/paper1014/content.txt,8,8,3,4,0,0,0,5,0
qwen3_8b_direct,paper1015,Data/paper1015/content.txt,8,8,0,0,5,0,0,3,0
qwen3_8b_direct,paper1016,Data/paper1016/content.txt,0,0,0,0,0,0,0,0,0
qwen3_8b_direct,paper1017,Data/paper1017/content.txt,8,8,0,2,0,0,0,8,0
qwen3_8b_direct,paper1020,Data/paper1020/content.txt,8,8,2,4,0,0,0,6,0
qwen3_8b_direct,paper1022,Data/paper1022/content.txt,8,8,0,3,0,0,0,8,0
qwen3_8b_direct,paper1023,Data/paper1023/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1025,Data/paper1025/content.txt,8,8,0,2,0,0,0,8,0
qwen3_8b_direct,paper1026,Data/paper1026/content.txt,8,8,1,5,0,0,0,7,0
qwen3_8b_direct,paper103,Data/paper103/content.txt,8,8,2,5,0,0,0,6,0
qwen3_8b_direct,paper1030,Data/paper1030/content.txt,8,8,2,3,0,0,0,6,0
qwen3_8b_direct,paper1038,Data/paper1038/content.txt,8,8,1,5,0,0,0,7,0
qwen3_8b_direct,paper1048,Data/paper1048/content.txt,8,8,0,4,0,0,0,8,0
qwen3_8b_direct,paper1059,Data/paper1059/content.txt,7,7,4,3,0,0,0,3,0
qwen3_8b_direct,paper1060,Data/paper1060/content.txt,7,7,4,2,0,0,0,3,0
qwen3_8b_direct,paper1063,Data/paper1063/content.txt,8,8,6,2,0,0,0,2,0
qwen3_8b_direct,paper1064,Data/paper1064/content.txt,8,8,4,2,0,0,0,4,0
qwen3_8b_direct,paper1067,Data/paper1067/content.txt,8,8,1,6,0,0,0,7,0
qwen3_8b_direct,paper1071,Data/paper1071/content.txt,8,8,2,5,0,0,0,6,0
qwen3_8b_direct,paper1084,Data/paper1084/content.txt,8,8,0,5,0,0,0,8,0
qwen3_8b_direct,paper1087,Data/paper1087/content.txt,8,8,5,3,0,0,0,3,0
qwen3_8b_direct,paper1109,Data/paper1109/content.txt,8,8,4,4,0,0,0,4,0
qwen3_8b_direct,paper1110,Data/paper1110/content.txt,8,8,2,6,0,0,0,6,0
qwen3_8b_direct,paper1128,Data/paper1128/content.txt,8,8,5,2,0,0,0,3,0
qwen3_8b_direct,paper1129,Data/paper1129/content.txt,8,8,2,6,0,0,0,6,0
qwen3_8b_direct,paper1131,Data/paper1131/content.txt,8,8,0,0,0,0,0,8,0
qwen3_8b_direct,paper1142,Data/paper1142/content.txt,8,8,0,0,0,0,0,8,0
