dataset,paper_id,agent,issue_code,json_path,content_path,message,evidence_preview
qwen3_8b_direct,paper1,summary,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1/summary.json,Data/paper1/content.txt,Evidence does not appear in the source text after normalization.,"Titanium dioxide (TiO2) films were deposited using tetranitratotitanium(IV) (TNT) as a precursor in low pressure CVD (LPCVD) and UHV-CVD reactors. The films exhibited crystalline anatase structure, good electrical properties, and were grown"
qwen3_8b_direct,paper1,target_material,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1/target_material.json,Data/paper1/content.txt,Evidence does not appear in the source text after normalization.,Titanium dioxide (TiO2) films were deposited using tetranitratotitanium(IV) (TNT) as a precursor in low pressure CVD (LPCVD) and UHV-CVD reactors.
qwen3_8b_direct,paper1,precursor_coreactant,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1/precursor_coreactant.json,Data/paper1/content.txt,Evidence does not appear in the source text after normalization.,Titanium dioxide (TiO2) films were deposited using tetranitratotitanium(IV) (TNT) as a precursor in low pressure CVD (LPCVD) and UHV-CVD reactors. Ultra high purity (99.998 %) Ar was used as the carrier gas at a flow rate of 60 sccm.
qwen3_8b_direct,paper1,film_properties,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1/film_properties.json,Data/paper1/content.txt,Evidence does not appear in the source text after normalization.,"The index of refraction of the LPCVD-grown films, as measured by ellipsometry at a wavelength of 632.8 nm, was 2.5. X-ray diffraction (XRD) established that even those films grown at 184 °C by UHV-CVD were polycrystalline TiO2 with the stru"
qwen3_8b_direct,paper1,characterization,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1/characterization.json,Data/paper1/content.txt,Evidence does not appear in the source text after normalization.,"Film thickness was measured using ellipsometry, Rutherford backscattering spectrometry (RBS), and/or stylus profilometry. X-ray diffraction (XRD) established that even those films grown at 184 °C by UHV-CVD were polycrystalline TiO2 with th"
qwen3_8b_direct,paper1004,summary,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1004/summary.json,Data/paper1004/content.txt,Evidence does not appear in the source text after normalization.,Titanium dioxide (TiO2) films have been deposited onto stainless steel substrates using atomic layer deposition (ALD) technique. The TiO2 films are amorphous in structure as characterized by X-ray diffraction. The electrochemical measuremen
qwen3_8b_direct,paper1004,precursor_coreactant,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1004/precursor_coreactant.json,Data/paper1004/content.txt,Evidence does not appear in the source text after normalization.,"The TiO2 films were prepared by ALD using titanium tetraisopropoxide (TTIP) and water as precursors, and high purity N2 was used as carrier gas to lead the vapour of the precursors into the ALD chamber."
qwen3_8b_direct,paper1004,deposition_conditions,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1004/deposition_conditions.json,Data/paper1004/content.txt,Evidence does not appear in the source text after normalization.,"The growth temperature was fixed at 150 °C in the whole deposition process. The growth sequence was consisted of a 0.015s pulse of water vapour followed by 3s N2 purge, then a 0.015s pulse of TTIP and another 3s N2 purge. The above sequence"
qwen3_8b_direct,paper1004,reaction_conditions,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1004/reaction_conditions.json,Data/paper1004/content.txt,Evidence does not appear in the source text after normalization.,The TiO2 films were prepared by ALD using titanium tetraisopropoxide (TTIP) and water as precursors.
qwen3_8b_direct,paper1004,substrate_info,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1004/substrate_info.json,Data/paper1004/content.txt,Evidence does not appear in the source text after normalization.,The TiO2 films were deposited onto stainless steel substrates.
qwen3_8b_direct,paper1004,characterization,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1004/characterization.json,Data/paper1004/content.txt,Evidence does not appear in the source text after normalization.,The composition was determined by VG ESCALAB Mark II X-ray photoelectron spectroscopy (XPS). The crystal structure of the films was examined using X-ray diffraction (XRD). The surface morphology of the TiO2 films was examined using atomic f
qwen3_8b_direct,paper1013,summary,evidence_not_found,benchmarking/qwen3_8b_direct_outputs/paper1013/summary.json,Data/paper1013/content.txt,Evidence does not appear in the source text after normalization.,"Cobalt oxide (CoOx) thin films were deposited on thermally grown SiO2 substrates by atomic layer deposition (ALD) using bis(1,4-di-iso-propyl-1,4-diazabutadiene)cobalt and oxygen as reactants. The phase of the films was controlled by varyin"
